date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:05%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/rt.webfont.scss.css?v=121801225750811966851731413171	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.webfont.scss00b0.css	(from https://uniformcraft.com/)
23:15:04	2149/2149	---MCZ	200	added ('OK')	text/css	date:Tue,%2012%20Nov%202024%2012:06:28%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/rt.webfont.scss.css?v=121801225750811966851731413171	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.webfont.scss00b0.css	(from https://uniformcraft.com/)
23:15:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:05%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/jquery.plugins.min.scss.css?v=65000298468817174911698489747	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery.plugins.min.scss14c3.css	(from https://uniformcraft.com/)
23:15:04	7836/7836	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20May%202024%2009:33:15%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/jquery.plugins.min.scss.css?v=65000298468817174911698489747	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery.plugins.min.scss14c3.css	(from https://uniformcraft.com/)
23:15:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:05%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/jquery.flexslider.scss.css?v=173478775633491698031698489747	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery.flexslider.scss971d.css	(from https://uniformcraft.com/)
23:15:05	4677/4677	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Nov%202024%2020:49:42%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/jquery.flexslider.scss.css?v=173478775633491698031698489747	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery.flexslider.scss971d.css	(from https://uniformcraft.com/)
23:15:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:06%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x.css?v=169428775825576090431651490273	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x22a1.css	(from https://uniformcraft.com/)
23:15:05	99442/99442	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Jul%202024%2017:49:32%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x.css?v=169428775825576090431651490273	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x22a1.css	(from https://uniformcraft.com/)
23:15:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:06%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/rt.global.scss.css?v=15543991315695882931651490405	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.global.scss2b57.css	(from https://uniformcraft.com/)
23:15:06	21010/21010	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2020:53:57%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/rt.global.scss.css?v=15543991315695882931651490405	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.global.scss2b57.css	(from https://uniformcraft.com/)
23:15:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:07%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/rt.style.scss.css?v=71123276490372024831725025862	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.style.scssc2b5.css	(from https://uniformcraft.com/)
23:15:06	162423/162423	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2013:51:23%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/rt.style.scss.css?v=71123276490372024831725025862	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.style.scssc2b5.css	(from https://uniformcraft.com/)
23:15:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:07%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/rt.custom.scss.css?v=169668621073325964761651490405	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.custom.scss4429.css	(from https://uniformcraft.com/)
23:15:07	1392/1392	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20May%202024%2022:29:44%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/rt.custom.scss.css?v=169668621073325964761651490405	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.custom.scss4429.css	(from https://uniformcraft.com/)
23:15:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:08%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/rt.media.scss.css?v=127579126791042124291651490405	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.media.scssbbd8.css	(from https://uniformcraft.com/)
23:15:07	16822/16822	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2023:20:53%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/rt.media.scss.css?v=127579126791042124291651490405	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/rt.media.scssbbd8.css	(from https://uniformcraft.com/)
23:15:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:08%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/loader.gif?v=147071982126738704471651490320	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/loader5c3e.gif	(from https://uniformcraft.com/)
23:15:08	2530/2530	---M--	200	added ('OK')	image/gif	date:Fri,%2015%20Nov%202024%2016:46:00%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/loader.gif?v=147071982126738704471651490320	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/loader5c3e.gif	(from https://uniformcraft.com/)
23:15:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:09%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/blank.gif?v=164826798765693215961651490269	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/blank89b7.gif	(from https://uniformcraft.com/)
